survey,HJD,mag,mag_err,flux,flux_err,camera
 KELT,2455147.884766,14.03145,0.00824,1.066085,0.008059,W
 KELT,2455147.908691,14.043010999999998,0.008459999999999999,1.054794,0.008187,W
 KELT,2455147.914551,14.011331,0.00831,1.086024,0.00828,W
 KELT,2455147.928223,14.038360999999998,0.00843,1.059321,0.008193,W
 KELT,2455147.936523,14.021310999999999,0.00834,1.076088,0.008234,W
 KELT,2455147.944824,14.023129999999998,0.008759999999999999,1.074286,0.008634,W
 KELT,2455151.731934,14.16806,0.00836,0.929848,0.007132,E
 KELT,2455151.739746,14.15429,0.008159999999999999,0.941716,0.00705,E
 KELT,2455151.747559,14.158579999999999,0.00826,0.938003,0.007108,E
 KELT,2455151.757812,14.17477,0.008159999999999999,0.924119,0.006918,E
 KELT,2455151.770508,14.16949,0.00815,0.928624,0.006943,E
 KELT,2455151.780762,14.16818,0.00838,0.929745,0.007148,E
 KELT,2455151.791504,14.16291,0.00836,0.934269,0.007166,E
 KELT,2455151.801758,14.15141,0.00829,0.944217,0.007181,E
 KELT,2455151.80957,14.16656,0.00835,0.931134,0.007133,E
 KELT,2455151.833984,14.149820000000002,0.0084,0.955969,0.007367,W
 KELT,2455151.844238,14.162721,0.0081,0.944678,0.00702,W
 KELT,2455151.85498,14.153471,0.0081,0.95276,0.00708,W
 KELT,2455151.865234,14.13376,0.00842,0.970215,0.007495,W
 KELT,2455151.875488,14.166070999999999,0.00813,0.941767,0.007024,W
 KELT,2455151.88623,14.121201000000001,0.008490000000000001,0.981503,0.007645,W
 KELT,2455151.894043,14.173831,0.00828,0.93506,0.007103,W
 KELT,2455151.899902,14.164810000000001,0.00864,0.942862,0.007474,W
 KELT,2455151.905273,14.17895,0.008320000000000001,0.930662,0.007104,W
 KELT,2455151.910645,14.166881,0.00828,0.941065,0.007149,W
 KELT,2455151.921387,14.154171,0.00851,0.952146,0.007434,W
 KELT,2455151.931641,14.14671,0.008620000000000001,0.958712,0.007582,W
 KELT,2455151.941895,14.168660000000001,0.00855,0.939524,0.00737,W
 KELT,2455151.952148,14.17014,0.008459999999999999,0.938244,0.007282,W
 KELT,2455151.962891,14.186801,0.008409999999999999,0.923957,0.007129,W
 KELT,2455152.677246,14.176020000000001,0.00857,0.923056,0.007257,E
 KELT,2455152.689941,14.159120000000001,0.00837,0.937536,0.007199,E
 KELT,2455152.700195,14.15903,0.00835,0.937614,0.007183,E
 KELT,2455152.710449,14.154979999999998,0.00812,0.941118,0.007011,E
 KELT,2455152.721191,14.15155,0.008020000000000001,0.944096,0.006946,E
 KELT,2455152.729004,14.143989999999999,0.00799,0.950692,0.006969,E
 KELT,2455152.736816,14.1692,0.00793,0.928872,0.006758,E
 KELT,2455152.744629,14.148729999999999,0.00797,0.946551,0.006921,E
 KELT,2455152.754883,14.15705,0.0079,0.939325,0.006808,E
 KELT,2455152.767578,14.154760000000001,0.00784,0.941309,0.006771,E
 KELT,2455152.777832,14.14899,0.00787,0.946324,0.006833,E
 KELT,2455152.788086,14.139170000000002,0.00783,0.954922,0.00686,E
 KELT,2455152.798828,14.14321,0.00793,0.951376,0.006921,E
 KELT,2455152.806641,14.13475,0.00795,0.958818,0.006993,E
 KELT,2455152.831055,14.12592,0.00783,0.977246,0.00702,W
 KELT,2455152.841309,14.118770999999999,0.0077599999999999995,0.983702,0.007003,W
 KELT,2455152.852051,14.116710999999999,0.00799,0.98557,0.007225,W
 KELT,2455152.862305,14.110311,0.008020000000000001,0.991397,0.007294,W
 KELT,2455152.872559,14.114501,0.00801,0.987578,0.007257,W
 KELT,2455152.882812,14.134060999999999,0.008,0.969946,0.007119,W
 KELT,2455152.891113,14.094801,0.00799,1.005661,0.007372,W
 KELT,2455152.896484,14.123071,0.007909999999999999,0.979814,0.00711,W
 KELT,2455152.902344,14.124701000000002,0.0079,0.978344,0.007091,W
 KELT,2455152.907715,14.097470000000001,0.0081,1.003192,0.007455,W
 KELT,2455152.917969,14.101951000000001,0.00812,0.99906,0.007443,W
 KELT,2455152.928711,14.108141,0.00807,0.99338,0.007355,W
 KELT,2455152.938965,14.102839999999999,0.00822,0.998242,0.007528,W
 KELT,2455152.949219,14.122611,0.0083,0.980229,0.007464,W
 KELT,2455152.959473,14.08635,0.008320000000000001,1.013519,0.007736,W
 KELT,2455153.671387,14.10095,0.0083,0.989136,0.007532,E
 KELT,2455153.683594,14.10029,0.00804,0.989737,0.0073,E
 KELT,2455153.694336,14.11525,0.007679999999999999,0.976194,0.006878,E
 KELT,2455153.70459,14.106020000000001,0.007640000000000001,0.984528,0.006901,E
 KELT,2455153.714844,14.10271,0.00777,0.987534,0.00704,E
 KELT,2455153.725098,14.09661,0.00774,0.993098,0.007052,E
 KELT,2455153.733398,14.077829999999999,0.007890000000000001,1.010425,0.007314,E
 KELT,2455153.741211,14.09025,0.007809999999999999,0.998932,0.007157,E
 KELT,2455153.751465,14.104379999999999,0.007529999999999999,0.986016,0.006812,E
 KELT,2455153.76416,14.09914,0.00758,0.990786,0.00689,E
 KELT,2455153.774414,14.117779999999998,0.00765,0.973922,0.006835,E
 KELT,2455153.784668,14.115860000000001,0.00758,0.975645,0.006785,E
 KELT,2455153.79541,14.1095,0.00772,0.981377,0.006951,E
 KELT,2455153.803223,14.106,0.0078,0.984546,0.007045,E
 KELT,2455153.827637,14.061601000000001,0.0085,1.036887,0.008086,W
 KELT,2455153.837891,14.085370999999999,0.0083,1.014434,0.007725,W
 KELT,2455153.848145,14.094729999999998,0.00834,1.005727,0.007695,W
 KELT,2455153.858887,14.09189,0.00839,1.008361,0.007762,W
 KELT,2455153.869141,14.103310999999998,0.00831,0.997809,0.007607,W
 KELT,2455153.879395,14.079970000000001,0.00839,1.019492,0.007847,W
 KELT,2455153.887695,14.111529999999998,0.00821,0.990285,0.007459,W
 KELT,2455153.893066,14.09002,0.008329999999999999,1.010099,0.007719,W
 KELT,2455153.898926,14.106670000000001,0.00828,0.994727,0.007556,W
 KELT,2455153.904297,14.080010000000001,0.00831,1.019455,0.007772,W
 KELT,2455153.914551,14.104601,0.00821,0.996625,0.007507,W
 KELT,2455153.925293,14.07439,0.00839,1.024745,0.007888,W
 KELT,2455153.935547,14.08298,0.0084,1.01667,0.007835,W
 KELT,2455153.945801,14.085410999999999,0.00847,1.014396,0.007883,W
 KELT,2455153.956055,14.102631,0.00829,0.998435,0.007594,W
 KELT,2455154.668457,14.13364,0.00826,0.959798,0.007273,E
 KELT,2455154.681152,14.13749,0.0079,0.956401,0.006932,E
 KELT,2455154.691406,14.13134,0.007790000000000001,0.961834,0.006874,E
 KELT,2455154.70166,14.1466,0.00763,0.94841,0.006639,E
 KELT,2455154.712402,14.13995,0.00746,0.954236,0.006531,E
 KELT,2455154.722656,14.141639999999999,0.00744,0.952752,0.006503,E
 KELT,2455154.730469,14.12706,0.00743,0.965633,0.006582,E
 KELT,2455154.738281,14.126579999999999,0.00745,0.96606,0.006603,E
 KELT,2455154.748535,14.14335,0.0071200000000000005,0.951253,0.006214,E
 KELT,2455154.76123,14.14765,0.006959999999999999,0.947493,0.00605,E
 KELT,2455154.771484,14.15908,0.0069900000000000006,0.937571,0.006012,E
 KELT,2455154.782227,14.164810000000001,0.006959999999999999,0.932636,0.005955,E
