HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457376.56340,2015-12-20.0584825,be,1.56,16.348,15.161,0.073,3.308,0.222,V
2457376.56469,2015-12-20.0597809,be,1.57,16.228,15.081,0.076,3.563,0.248,V
2457376.56597,2015-12-20.0610552,be,1.58,16.282,15.222,0.083,3.126,0.236,V
2457377.81670,2015-12-21.3117983,be,1.41,16.715,15.095,0.049,3.517,0.158,V
2457377.81799,2015-12-21.3130822,be,1.42,16.557,15.080,0.056,3.565,0.183,V
2457377.81928,2015-12-21.3143758,be,1.44,16.628,15.065,0.052,3.615,0.172,V
2457378.76365,2015-12-22.2587510,be,1.44,16.193,15.121,0.082,3.434,0.256,V
2457378.76493,2015-12-22.2600340,be,1.40,16.167,15.203,0.090,3.181,0.262,V
2457378.76621,2015-12-22.2613152,be,1.44,16.181,15.330,0.100,2.830,0.259,V
2457385.79655,2015-12-29.2917618,be,1.45,16.068,15.227,0.101,3.110,0.287,V
2457385.79782,2015-12-29.2930384,be,1.44,16.097,15.354,0.111,2.768,0.279,V
2457386.72009,2015-12-30.2153269,be,1.44,16.381,15.003,0.062,3.824,0.215,V
2457386.72138,2015-12-30.2166149,be,1.41,16.317,15.135,0.074,3.386,0.228,V
2457386.72267,2015-12-30.2179031,be,1.43,16.343,15.127,0.071,3.413,0.223,V
2457387.60144,2015-12-31.0966991,be,1.46,16.569,15.033,0.053,3.724,0.181,V
2457387.60273,2015-12-31.0979868,be,1.41,16.603,15.001,0.050,3.835,0.175,V
2457387.60402,2015-12-31.0992722,be,1.42,16.607,15.069,0.053,3.600,0.175,V
2457390.67249,2016-01-03.1678221,be,1.43,16.663,15.064,0.050,3.617,0.166,V
2457394.64145,2016-01-07.1369079,be,1.45,16.699,15.146,0.052,3.353,0.161,V
2457394.64274,2016-01-07.1381980,be,1.43,16.598,15.139,0.057,3.377,0.176,V
2457394.64403,2016-01-07.1394870,be,1.47,16.605,15.246,0.063,3.058,0.175,V
2457396.76600,2016-01-09.2615337,be,1.58,16.690,15.343,0.063,2.797,0.162,V
2457396.76729,2016-01-09.2628206,be,1.54,16.652,15.482,0.074,2.461,0.168,V
2457396.76857,2016-01-09.2640973,be,1.49,16.697,15.498,0.072,2.426,0.161,V
2457397.70870,2016-01-10.2042655,ba,1.65,16.078,15.190,0.097,3.221,0.284,V
2457397.70995,2016-01-10.2055146,ba,1.67,16.092,15.347,0.110,2.787,0.281,V
2457397.71120,2016-01-10.2067631,ba,1.69,16.295,15.155,0.077,3.327,0.233,V
2457398.75545,2016-01-11.2510535,be,1.42,16.657,15.119,0.053,3.440,0.167,V
2457400.75493,2016-01-13.2506175,be,1.42,16.243,15.071,0.074,3.592,0.244,V
2457400.75621,2016-01-13.2519028,be,1.43,16.082,15.178,0.095,3.256,0.283,V
2457401.75121,2016-01-14.2469401,be,1.43,16.617,15.174,0.058,3.269,0.173,V
2457401.75250,2016-01-14.2482291,be,1.40,16.540,15.001,0.053,3.834,0.186,V
2457401.75378,2016-01-14.2495082,be,1.42,16.614,15.166,0.058,3.294,0.174,V
2457403.73477,2016-01-16.2305924,be,1.43,16.591,15.066,0.054,3.610,0.177,V
2457403.73606,2016-01-16.2318843,be,1.43,16.624,14.992,0.049,3.862,0.172,V
2457403.73736,2016-01-16.2331792,be,1.45,16.577,15.080,0.055,3.566,0.180,V
2457404.57927,2016-01-17.0751318,be,1.73,16.373,14.790,0.051,4.657,0.217,V
2457404.58056,2016-01-17.0764177,be,1.72,16.490,14.914,0.051,4.152,0.195,V
2457404.58185,2016-01-17.0777089,be,1.64,16.496,14.990,0.055,3.873,0.194,V
2457405.74244,2016-01-18.2383585,be,1.47,16.593,15.031,0.052,3.727,0.177,V
2457405.74372,2016-01-18.2396371,be,1.40,16.568,15.137,0.059,3.381,0.181,V
2457405.74502,2016-01-18.2409312,be,1.47,16.562,15.073,0.055,3.587,0.182,V
2457406.72232,2016-01-19.2182878,be,1.43,16.150,15.014,0.077,3.786,0.266,V
2457406.72359,2016-01-19.2195593,be,1.43,16.321,15.311,0.086,2.880,0.227,V
2457406.72489,2016-01-19.2208504,be,1.44,16.229,15.424,0.104,2.595,0.247,V
2457409.85120,2016-01-22.3473298,ba,2.00,15.920,15.015,0.095,3.782,0.329,V
2457409.85247,2016-01-22.3485920,ba,1.99,15.875,14.866,0.086,4.341,0.343,V
2457409.85372,2016-01-22.3498468,ba,1.83,15.777,15.005,0.108,3.819,0.375,V
2457411.86434,2016-01-24.3605804,ba,1.69,15.688,14.967,0.113,3.954,0.407,V
2457411.86560,2016-01-24.3618359,ba,1.69,15.695,14.721,0.089,4.960,0.405,V
2457411.86685,2016-01-24.3630858,ba,1.64,15.652,14.740,0.095,4.874,0.421,V
2457415.71086,2016-01-28.2073188,be,1.40,16.281,15.048,0.070,3.672,0.236,V
2457415.71215,2016-01-28.2086091,be,1.42,16.246,15.079,0.075,3.566,0.244,V
2457415.71342,2016-01-28.2098834,be,1.42,16.180,14.876,0.066,4.300,0.259,V
2457416.69222,2016-01-29.1887460,be,1.44,16.259,14.792,0.057,4.650,0.241,V
2457416.69351,2016-01-29.1900299,be,1.39,16.265,14.880,0.061,4.285,0.240,V
2457416.69480,2016-01-29.1913211,be,1.37,16.270,14.662,0.050,5.240,0.239,V
2457418.61899,2016-01-31.1156289,be,1.43,16.613,15.139,0.056,3.375,0.174,V
2457418.62026,2016-01-31.1169055,be,1.43,16.777,15.214,0.052,3.148,0.150,V
2457418.62155,2016-01-31.1181931,be,1.41,16.626,15.223,0.060,3.123,0.172,V
2457420.85798,2016-02-02.3547709,ba,1.62,16.849,14.911,0.037,4.165,0.140,V
2457420.85923,2016-02-02.3560210,ba,1.63,16.676,14.831,0.040,4.484,0.164,V
